hRideF,hRideR,aRollAbs,CLiftBodyF,CLiftBodyR,CDragBody
0.007480793,0.130592644,0.002472571,2.336397982,2.486365754,1.014608933
0.018977789,0.1327319,0.011352549,2.227292876,2.504874082,1.051827895
0.02127648,0.128085852,0.010060383,2.188517284,2.527132386,1.035988646
0.018080926,0.116414145,3.62E-07,2.182143238,2.563802468,0.980037753
0.009182185,0.067540929,0.003417207,1.767738194,2.19402051,0.820630662
0.002265694,0.083251245,0.015228824,1.939767361,2.131324231,0.855101868
0.011730267,0.088094682,0.016520074,1.918356411,2.284028004,0.885981992
0.015445148,0.08302594,0.016708715,1.853953528,2.260761086,0.874182013
0.014350687,0.080164053,0.016679183,1.833265764,2.225114784,0.861330704
0.013327179,0.077565692,0.016646652,1.814228855,2.213131428,0.855420461
0.011101984,0.07123477,0.000122291,1.80301451,2.238544941,0.825661002
0.009168189,0.067485519,0.00012353,1.774345802,2.20481205,0.817340505
0.007745563,0.064634256,1.51E-05,1.752312397,2.176106453,0.811019683
0.006572282,0.062859505,5.22E-06,1.739158385,2.15293169,0.806564926
0.005617603,0.061599419,6.85E-06,1.73005055,2.133861542,0.803168591
0.004848593,0.060659979,5.56E-08,1.724813938,2.118240118,0.800876856
0.004246662,0.059905574,3.33E-06,1.725062728,2.105437994,0.800214887
0.003760604,0.059303205,1.59E-06,1.725309134,2.09487319,0.79968518
0.003344696,0.05885883,0.000121519,1.725906253,2.085747004,0.799411714
-0.001127616,0.085977778,0.00240325,2.029385567,2.150836199,0.850619368
0.013581206,0.108597308,0.002502545,2.126620477,2.494657548,0.947722966
0.024413537,0.112118192,0.011551237,2.028969436,2.476989479,0.987935692
0.026713021,0.107339412,0.010262773,1.987548853,2.467284715,0.972013816
0.024107285,0.094847687,3.67E-07,1.969781098,2.456720179,0.914840819
0.007991099,0.078462854,0.003401205,1.872696042,2.216417313,0.831352651
0.001019813,0.094839923,0.015207985,2.060862303,2.216359833,0.897240574
0.010878942,0.099224634,0.016478313,2.021710197,2.366286901,0.924266951
0.014619694,0.094066128,0.016636219,1.957321942,2.358026829,0.912085152
0.013446261,0.091217205,0.016608274,1.937320297,2.328388094,0.89908369
0.012347313,0.088622756,0.016573858,1.91887205,2.298509924,0.887223278
0.010033858,0.082189925,0.000121337,1.907319079,2.27555597,0.841896299
0.007985737,0.078407243,0.000122558,1.879261695,2.227315187,0.828108927
0.006471035,0.075506009,1.49E-05,1.857464838,2.20304203,0.821547848
0.005242709,0.073518157,5.18E-06,1.842757573,2.181660175,0.816728828
0.004225343,0.072239615,6.80E-06,1.841198921,2.163678646,0.815026343
0.003405563,0.071286939,5.44E-08,1.842464805,2.148679018,0.814205885
0.002762411,0.070518367,3.30E-06,1.843193889,2.136326551,0.81354332
0.0022427,0.069901638,1.57E-06,1.843801975,2.126059532,0.813009858
0.001798907,0.069445997,0.000120468,1.844698787,2.117019176,0.812732697
-0.002367736,0.097739659,0.002405006,2.150683165,2.226977221,0.893186895
0.013138082,0.119356513,0.002501791,2.22145393,2.529112389,0.985419232
0.024253877,0.122398712,0.011499405,2.11812361,2.506114561,1.024758289
0.026569545,0.117694527,0.010206292,2.077734274,2.50810597,1.008976971
0.02374669,0.105536602,3.67E-07,2.065402749,2.527955671,0.952341026
0.0067841,0.089928806,0.003389381,1.981017244,2.304472945,0.866300651
-0.000250425,0.107013956,0.01520271,2.185647488,2.272243038,0.941753988
0.010026461,0.110710405,0.016446002,2.126640512,2.42127141,0.964042912
0.013795793,0.10544508,0.016579721,2.062153503,2.428749992,0.951394915
0.012539732,0.102650478,0.016552202,2.043247537,2.40538583,0.938372
0.011361616,0.100099139,0.016515696,2.025770483,2.38105465,0.926466243
0.008961964,0.093620613,0.000120624,2.014274591,2.371568542,0.880642258
0.006788151,0.089869261,0.00012185,1.987478725,2.314982526,0.862935897
0.005170322,0.086979754,1.48E-05,1.966538103,2.267964243,0.849323638
0.003889179,0.084714562,5.15E-06,1.960305691,2.228063085,0.841325934
0.002814436,0.083353318,6.76E-06,1.961184382,2.198369964,0.836890634
0.001940229,0.082403183,5.35E-08,1.963271379,2.174977532,0.83383852
0.001252771,0.081633516,3.29E-06,1.964635849,2.155786728,0.831364388
0.000696989,0.081011809,1.56E-06,1.965719938,2.139942749,0.829362835
0.000223446,0.080551505,0.000119675,1.966997385,2.126630594,0.827997875
-0.00363061,0.110100798,0.002408722,2.275182486,2.273214704,0.937936486
0.012703453,0.130257323,0.002500497,2.315501196,2.537730376,1.023680662
0.024096414,0.132717595,0.011450474,2.205905097,2.511538837,1.061871109
0.026428832,0.12809211,0.010153346,2.166620693,2.524831016,1.046220819
0.023390427,0.116356842,3.67E-07,2.160434937,2.573760904,0.990319225
